,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
326,1,2,1,3,2,4,2,3,1,8,1
327,0,0,3,0,0,0,1,7,8,2,9
328,1,2,1,1,2,1,0,0,0,3,0
329,0,0,0,0,0,0,1,7,6,0,9
330,1,1,2,4,4,2,3,8,9,10,11
331,0,0,0,0,0,0,1,7,6,2,9
332,0,0,3,0,0,0,1,7,6,2,9
333,0,2,1,3,2,4,0,0,0,9,3
334,0,0,0,0,0,0,1,7,6,0,9
335,1,2,1,3,2,4,2,3,1,8,10
336,1,2,1,1,1,1,6,1,2,3,7
337,1,2,1,3,2,1,2,3,1,8,1
338,1,1,2,4,1,1,3,1,2,3,7
339,1,2,1,1,1,1,6,1,0,9,3
340,1,1,2,4,4,5,4,2,4,4,8
341,1,1,2,4,4,2,3,5,5,10,2
342,1,2,0,1,1,1,6,1,2,3,7
343,0,0,3,0,0,0,0,0,7,1,0
344,0,0,0,0,0,0,1,7,6,0,9
345,1,2,1,3,2,4,2,3,1,8,1
346,1,2,1,3,2,4,2,3,1,8,1
347,1,2,2,1,1,1,6,1,2,3,7
348,1,1,2,1,1,1,6,1,2,3,7
349,0,0,0,0,0,0,1,7,6,0,9
350,1,2,1,3,2,4,2,3,1,8,1
351,1,2,1,1,1,1,6,1,2,3,7
352,1,1,2,1,1,1,6,1,2,6,7
353,1,2,1,3,2,4,2,3,1,8,10
354,1,2,1,1,2,1,6,1,0,9,1
355,1,1,2,1,1,1,6,1,2,3,7
356,1,2,1,1,1,1,6,1,2,3,7
357,1,1,2,1,1,1,6,1,2,3,7
358,1,2,1,1,1,1,6,1,0,9,3
359,1,2,1,3,2,4,2,3,1,8,1
360,1,2,1,3,2,4,2,3,1,8,10
361,0,2,1,3,2,4,0,0,0,1,0
362,1,2,1,1,1,1,6,1,2,3,7
363,1,2,0,1,1,1,6,1,2,3,7
364,1,2,1,1,1,1,6,1,2,3,7
365,1,2,1,3,2,1,0,0,0,1,3
366,1,1,2,4,1,2,3,1,2,3,7
367,1,2,1,3,2,4,2,3,1,8,1
368,1,2,1,3,2,4,2,3,1,8,1
369,0,0,0,0,0,0,0,7,8,1,4
370,1,2,1,3,2,4,2,3,1,8,1
371,1,2,1,3,2,4,0,0,7,1,10
372,1,1,2,1,1,1,6,1,2,3,7
373,1,2,2,1,1,1,6,1,2,3,7
374,1,1,2,4,4,2,4,2,1,8,1
375,0,0,3,2,3,3,5,6,3,5,0
376,1,2,1,3,2,4,2,3,7,1,10
377,1,2,1,3,2,1,0,0,0,1,0
378,1,2,1,3,2,4,0,0,0,9,3
