,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
136,0,2,2,2,2,2,0,8,8,8,8
137,1,1,0,3,3,1,1,0,1,0,11
138,1,1,0,3,3,1,1,0,1,0,11
139,1,1,0,3,3,1,1,0,1,0,11
140,1,1,0,3,3,1,1,0,1,0,11
141,1,1,0,3,3,1,1,0,1,0,11
142,0,0,1,0,5,5,2,2,2,2,0
143,0,0,3,1,0,6,6,6,6,6,6
144,1,1,0,3,3,1,1,0,1,0,11
145,0,0,1,0,1,0,5,5,5,5,2
146,1,1,0,3,3,1,1,0,1,0,11
147,0,0,3,1,0,6,6,6,6,6,6
148,1,1,0,3,3,1,1,0,1,0,11
149,0,0,3,1,0,3,3,1,0,10,10
150,1,1,0,3,3,1,1,0,1,0,11
151,0,0,1,0,5,5,2,2,2,2,0
152,0,0,1,0,1,0,7,7,7,7,7
153,1,1,0,3,3,1,1,0,1,0,11
154,0,0,1,0,5,5,2,2,2,2,0
155,1,1,0,3,3,1,1,0,1,0,5
156,1,1,0,3,3,1,1,0,1,0,11
157,0,0,3,1,0,6,6,6,6,6,6
158,0,0,1,0,5,5,2,2,2,2,0
159,0,0,1,0,1,0,7,7,7,7,7
160,1,1,0,3,3,1,1,0,1,0,5
161,0,0,3,1,0,3,3,1,0,1,1
162,1,1,0,3,3,1,1,0,1,0,11
163,0,0,3,1,0,3,3,1,0,10,10
164,0,2,2,2,2,2,0,8,8,8,8
165,0,0,3,1,0,6,6,6,6,6,6
166,1,1,0,3,3,1,1,0,1,0,11
167,0,2,2,2,2,2,0,3,3,3,3
168,0,0,3,1,0,3,3,1,0,1,1
169,1,1,0,3,3,1,1,0,1,0,11
170,1,1,0,3,3,1,1,0,1,0,5
171,0,0,1,0,5,5,2,2,2,2,0
172,1,1,0,3,3,1,1,0,1,0,5
173,0,0,3,1,0,3,3,1,0,1,1
174,1,1,0,3,3,1,1,0,1,0,5
175,0,0,3,1,0,6,6,6,6,6,6
176,0,0,1,0,1,0,5,5,5,5,2
177,1,1,0,3,3,1,1,0,1,0,5
178,0,0,1,0,5,5,2,2,2,2,0
179,1,1,0,3,3,1,1,0,1,0,5
180,0,2,2,2,2,2,0,3,3,3,3
181,1,1,0,3,3,1,1,0,1,0,11
182,0,2,2,2,2,2,0,3,3,3,3
183,0,0,3,1,0,6,6,6,6,6,6
184,1,1,0,3,3,1,1,0,1,0,11
185,0,0,3,1,0,6,6,6,6,6,6
186,0,2,2,2,2,2,0,8,8,8,8
187,0,0,3,1,0,6,6,6,6,6,6
188,0,2,2,2,2,2,0,8,8,8,8
189,0,0,1,0,5,5,2,2,2,2,0
190,1,1,0,3,3,1,1,0,4,4,4
191,0,2,2,2,2,2,0,3,3,3,3
192,1,1,0,3,3,1,1,0,1,0,11
193,0,0,3,1,0,6,6,6,6,6,6
194,0,2,2,2,2,2,0,3,3,3,3
195,0,0,3,1,0,6,6,6,6,6,6
196,0,0,1,0,5,5,2,2,2,2,0
197,0,0,1,0,1,0,5,5,5,5,2
198,1,1,0,3,3,1,1,0,1,0,11
199,1,1,0,3,3,1,1,0,1,0,11
200,0,2,2,2,2,2,0,8,8,8,8
201,1,1,0,3,3,1,1,0,1,0,11
202,1,1,0,3,3,1,1,0,1,0,11
203,0,0,3,1,0,3,3,1,0,1,1
204,1,1,0,3,3,1,1,0,1,0,11
205,0,0,1,0,1,0,5,5,5,5,2
206,0,0,1,0,1,0,5,5,5,5,2
207,0,0,3,1,0,6,6,6,6,6,6
208,0,0,3,1,0,3,3,1,0,10,10
209,0,0,3,1,0,3,3,1,0,1,1
210,0,0,3,1,0,3,3,1,0,1,1
211,1,1,0,3,3,1,1,0,1,0,5
212,1,1,0,3,3,1,1,0,1,0,11
213,1,1,0,3,3,1,1,0,1,0,11
214,1,1,0,3,3,1,1,0,1,0,11
215,0,0,3,1,0,3,3,1,0,1,1
216,1,1,0,3,3,1,1,0,1,0,5
217,1,1,0,3,3,1,1,0,1,0,11
218,0,0,3,1,0,6,6,6,6,6,6
219,0,0,3,1,0,6,6,6,6,6,6
220,0,0,3,1,0,6,6,6,6,6,6
221,1,1,0,3,3,1,1,0,1,0,11
222,0,0,3,1,0,3,3,1,0,1,1
223,0,0,3,1,0,3,3,1,0,1,1
224,0,0,3,1,0,3,3,1,0,1,1
225,0,0,1,0,5,5,2,2,2,2,0
226,1,1,0,3,3,1,1,0,1,0,11
227,0,0,3,1,0,3,3,1,0,1,1
228,1,1,0,3,3,1,1,0,1,0,5
229,0,0,3,1,0,3,3,1,0,1,1
230,0,0,3,1,0,3,3,1,0,1,1
231,0,0,1,0,1,0,5,5,5,5,2
232,0,0,1,0,5,5,2,2,2,2,0
233,0,0,3,1,0,6,6,6,6,6,6
234,1,1,0,3,3,1,1,0,1,0,11
235,0,0,1,0,5,5,2,2,2,2,0
236,0,0,3,1,0,3,3,1,0,10,10
237,0,0,3,1,0,3,3,1,0,10,10
238,0,0,3,1,0,3,3,1,0,10,10
239,0,0,3,1,0,6,6,6,6,6,6
240,0,0,1,0,5,5,2,2,2,2,0
241,1,1,0,3,3,1,1,0,1,0,11
242,1,1,0,3,3,1,1,0,4,4,4
243,0,0,1,0,5,5,2,2,2,2,0
244,0,0,1,0,5,5,2,2,2,2,0
245,1,1,0,3,3,1,1,0,1,0,11
246,0,0,3,1,0,3,3,1,0,1,1
247,0,0,1,0,5,5,2,2,2,2,0
248,0,0,3,1,0,3,3,1,0,1,1
249,0,0,1,0,1,0,5,5,5,5,2
250,1,1,0,4,4,4,4,4,9,9,9
251,0,0,1,0,1,0,5,5,5,5,2
252,1,1,0,4,4,4,4,4,9,9,9
253,1,1,0,4,4,4,4,4,9,9,9
254,0,2,2,2,2,2,0,3,3,3,3
255,0,0,1,0,5,5,2,2,2,2,0
256,0,0,1,0,1,0,5,5,5,5,2
257,0,0,1,0,5,5,2,2,2,2,0
258,0,0,1,0,5,5,2,2,2,2,0
259,0,0,3,1,0,3,3,1,0,1,1
260,0,0,3,1,0,3,3,1,0,1,1
261,1,1,0,3,3,1,1,0,1,0,11
262,1,1,0,3,3,1,1,0,1,0,11
263,0,0,3,1,0,6,6,6,6,6,6
264,1,1,0,3,3,1,1,0,1,0,5
265,1,1,0,3,3,1,1,0,1,0,5
266,0,0,1,0,1,0,5,5,5,5,2
267,1,1,0,3,3,1,1,0,1,0,11
268,0,0,3,1,0,6,6,6,6,6,6
269,0,2,2,2,2,2,0,8,8,8,8
270,0,0,3,1,0,6,6,6,6,6,6
271,1,1,0,3,3,1,1,0,1,0,11
272,1,1,0,3,3,1,1,0,1,0,5
273,1,1,0,3,3,1,1,0,1,0,5
274,1,1,0,3,3,1,1,0,1,0,5
275,1,1,0,3,3,1,1,0,1,0,5
276,1,1,0,3,3,1,1,0,1,0,5
277,1,1,0,3,3,1,1,0,1,0,5
278,0,0,3,1,0,3,3,1,0,1,1
279,1,1,0,3,3,1,1,0,1,0,11
280,0,0,3,1,0,3,3,1,0,10,10
281,0,2,2,2,2,2,0,3,3,3,3
282,0,0,3,1,0,3,3,1,0,1,1
283,0,0,3,1,0,3,3,1,0,1,1
284,0,2,2,2,2,2,0,3,3,3,3
285,0,0,1,0,5,5,2,2,2,2,0
286,0,0,3,1,0,3,3,1,0,1,1
287,1,1,0,3,3,1,1,0,1,0,11
288,0,0,3,1,0,3,3,1,0,1,1
289,0,0,1,0,5,5,2,2,2,2,0
290,0,2,2,2,2,2,0,3,3,3,3
291,0,0,1,0,5,5,2,2,2,2,0
292,1,1,0,3,3,1,1,0,4,4,4
293,0,2,2,2,2,2,0,8,8,8,8
294,0,0,1,0,1,0,5,5,5,5,2
295,0,0,3,1,0,6,6,6,6,6,6
296,0,0,1,0,5,5,2,2,2,2,0
297,1,1,0,3,3,1,1,0,1,0,11
298,0,0,1,0,1,0,5,5,5,5,2
299,0,0,3,1,0,3,3,1,0,1,1
300,0,0,1,0,1,0,5,5,5,5,2
301,0,0,3,1,0,3,3,1,0,10,10
302,0,0,3,1,0,3,3,1,0,1,1
303,0,0,1,0,1,0,5,5,5,5,2
304,0,0,3,1,0,3,3,1,0,1,1
305,0,0,3,1,0,3,3,1,0,1,1
306,0,0,3,1,0,3,3,1,0,1,1
307,0,0,1,0,1,0,5,5,5,5,2
308,0,0,3,1,0,3,3,1,0,10,10
309,1,1,0,3,3,1,1,0,1,0,11
310,0,2,2,2,2,2,0,3,3,3,3
311,0,0,1,0,5,5,2,2,2,2,0
312,0,0,3,1,0,6,6,6,6,6,6
313,0,2,2,2,2,2,0,3,3,3,3
314,0,0,1,0,1,0,5,5,5,5,2
315,0,0,3,1,0,3,3,1,0,1,1
316,0,2,2,2,2,2,0,8,8,8,8
317,0,0,1,0,1,0,7,7,7,7,7
318,0,0,3,1,0,3,3,1,0,1,1
319,0,0,1,0,1,0,5,5,5,5,2
320,0,0,3,1,0,3,3,1,0,1,1
321,0,0,1,0,1,0,5,5,5,5,2
322,1,1,0,3,3,1,1,0,1,0,11
323,0,0,1,0,1,0,5,5,5,5,2
324,0,0,1,0,5,5,2,2,2,2,0
325,0,2,2,2,2,2,0,3,3,3,3
326,0,0,1,0,5,5,2,2,2,2,0
327,0,2,2,2,2,2,0,8,8,8,8
328,0,0,1,0,1,0,5,5,5,5,2
329,0,2,2,2,2,2,0,8,8,8,8
330,1,1,0,3,3,1,1,0,1,0,11
331,0,2,2,2,2,2,0,8,8,8,8
332,0,2,2,2,2,2,0,8,8,8,8
333,0,0,3,1,0,3,3,1,0,1,1
334,0,2,2,2,2,2,0,8,8,8,8
335,0,0,3,1,0,6,6,6,6,6,6
336,0,0,3,1,0,3,3,1,0,1,1
337,0,0,3,1,0,3,3,1,0,1,1
338,1,1,0,3,3,1,1,0,1,0,11
339,0,0,3,1,0,3,3,1,0,1,1
340,1,1,0,4,4,4,4,4,9,9,9
341,1,1,0,3,3,1,1,0,1,0,5
342,0,0,3,1,0,3,3,1,0,1,1
343,0,0,1,0,1,0,5,5,5,5,2
344,0,2,2,2,2,2,0,8,8,8,8
345,0,0,3,1,0,6,6,6,6,6,6
346,0,0,3,1,0,6,6,6,6,6,6
347,0,0,3,1,0,3,3,1,0,1,1
348,0,0,3,1,0,3,3,1,0,1,1
349,0,2,2,2,2,2,0,8,8,8,8
350,0,0,3,1,0,6,6,6,6,6,6
351,0,0,3,1,0,3,3,1,0,1,1
352,1,1,0,3,3,1,1,0,1,0,5
353,0,0,1,0,5,5,2,2,2,2,0
354,0,0,3,1,0,3,3,1,0,1,1
355,1,1,0,3,3,1,1,0,1,0,5
356,0,0,3,1,0,6,6,6,6,6,6
357,1,1,0,3,3,1,1,0,1,0,5
358,0,0,3,1,0,6,6,6,6,6,6
359,0,0,1,0,5,5,2,2,2,2,0
360,0,0,1,0,5,5,2,2,2,2,0
361,0,0,1,0,1,0,5,5,5,5,2
362,0,0,3,1,0,3,3,1,0,1,1
363,0,0,3,1,0,3,3,1,0,1,1
364,0,0,3,1,0,3,3,1,0,1,1
365,0,0,1,0,5,5,2,2,2,2,0
366,1,1,0,3,3,1,1,0,1,0,11
367,0,0,3,1,0,6,6,6,6,6,6
368,0,0,3,1,0,3,3,1,0,1,1
369,0,0,1,0,1,0,5,5,5,5,2
370,0,0,3,1,0,3,3,1,0,1,1
371,0,0,1,0,5,5,2,2,2,2,0
372,0,0,3,1,0,3,3,1,0,1,1
373,0,0,3,1,0,3,3,1,0,1,1
374,1,1,0,4,4,4,4,4,9,9,9
375,0,2,2,2,2,2,0,3,3,3,3
